iteration,state,num_high_quality,high_quality_percent
0,0.4595395091729831,59.48,29.74
100,0.47747219031825894,55.97,27.985
200,0.49351473746903757,53.85,26.925
300,0.5071350993766905,52.55,26.275
400,0.5189783710235334,52.0,26.0
500,0.5296297997175946,51.57,25.785
600,0.539257727893839,51.35,25.675
700,0.5475960223423829,51.42,25.71
800,0.555142063676181,51.39,25.695
900,0.562063992364769,51.58,25.79
1000,0.5686427522733764,51.66,25.83
1100,0.5746000338159629,51.84,25.92
1200,0.5801638725169336,52.1,26.05
1300,0.5852816381118386,52.36,26.18
1400,0.5900962553216202,52.66,26.33
1500,0.5946220179552228,53.0,26.5
1600,0.598979038016353,53.33,26.665
1700,0.6030546900183321,53.63,26.815
1800,0.6069783250202557,53.97,26.985
1900,0.6107313548748647,54.38,27.19
2000,0.6142753988704642,54.77,27.385
2100,0.6176827212535745,55.15,27.575
2200,0.6210133626745754,55.47,27.735
2300,0.6242252845967062,55.87,27.935
2400,0.6273347529804656,56.21,28.105
2500,0.6303225196708103,56.59,28.295
2600,0.633125033217572,56.86,28.43
2700,0.6358522387042307,57.2,28.6
2800,0.6384971398759093,57.56,28.78
2900,0.641017212387831,57.87,28.935
3000,0.6435044209051121,58.29,29.145
3100,0.6459213455092565,58.65,29.325
3200,0.6482739253524287,58.96,29.48
3300,0.6505796408241917,59.32,29.66
3400,0.65281747372036,59.76,29.88
3500,0.655007720547507,60.01,30.005
3600,0.6571277429775051,60.49,30.245
3700,0.6592092766494879,60.94,30.47
3800,0.6612420688759515,61.34,30.67
3900,0.6631896701100453,61.64,30.82
4000,0.6650867000696269,61.98,30.99
4100,0.6669402185794732,62.35,31.175
4200,0.6687622748688724,62.73,31.365
4300,0.6705642926152215,63.09,31.545
4400,0.6723237947665333,63.44,31.72
4500,0.6740216427813179,63.84,31.92
4600,0.6757355417556817,64.12,32.06
4700,0.6774237985320519,64.49,32.245
4800,0.6790446665782326,64.83,32.415
4900,0.680624686005644,65.23,32.615
5000,0.6821817688416668,65.55,32.775
5100,0.6837355106075208,66.0,33.0
5200,0.6852573271787744,66.36,33.18
