iteration,state,num_high_quality,high_quality_percent
0,0.5033866666383127,72.03,36.015
100,0.5203379260360842,70.0,35.0
200,0.5345535137421826,68.98,34.49
300,0.5462838450848171,68.28,34.14
400,0.5564188225544929,68.02,34.01
500,0.5653553314113305,67.94,33.97
600,0.5729082481429867,67.86,33.93
700,0.5796246853744408,67.8,33.9
800,0.5856935781512684,67.77,33.885
900,0.5912719564454908,67.92,33.96
1000,0.5963723544132922,68.07,34.035
1100,0.6009167930152057,68.12,34.06
1200,0.6051718136653722,68.35,34.175
1300,0.6091341517795557,68.62,34.31
1400,0.6128429744384979,68.82,34.41
1500,0.6163840385222675,69.09,34.545
1600,0.6196921468826685,69.33,34.665
1700,0.6227326840090748,69.55,34.775
1800,0.6256474910597791,69.85,34.925
1900,0.6284808851423246,70.12,35.06
2000,0.6312362074688269,70.43,35.215
2100,0.6337425516393377,70.6,35.3
2200,0.6362153837605677,70.87,35.435
2300,0.6385540113906167,71.16,35.58
2400,0.6408084410256235,71.45,35.725
2500,0.6430223321424741,71.71,35.855
2600,0.6451579536385768,72.05,36.025
2700,0.6472206236925068,72.27,36.135
2800,0.6491530853015459,72.48,36.24
2900,0.6511097707869431,72.66,36.33
3000,0.6529777298536499,72.95,36.475
3100,0.6548273707260237,73.11,36.555
3200,0.6566032604863181,73.36,36.68
3300,0.6583217170207517,73.75,36.875
3400,0.6599898494584207,74.05,37.025
3500,0.6615921329081408,74.32,37.16
3600,0.6631745908379791,74.53,37.265
3700,0.66472645124749,74.78,37.39
3800,0.6662431974376726,75.05,37.525
3900,0.6677059938714385,75.34,37.67
4000,0.6691506923155415,75.69,37.845
4100,0.6705726299711107,75.92,37.96
4200,0.6719402117025146,76.13,38.065
4300,0.6732786380752167,76.38,38.19
4400,0.674633847981779,76.72,38.36
4500,0.6759278937067235,76.96,38.48
4600,0.677191644600597,77.26,38.63
4700,0.6784270868806506,77.56,38.78
4800,0.6796257632464351,77.77,38.885
4900,0.6808275729097718,78.03,39.015
5000,0.6820274151538263,78.32,39.16
5100,0.683179183644508,78.52,39.26
5200,0.6843041466137179,78.74,39.37
5300,0.6854012030933938,79.01,39.505
5400,0.6864786252367006,79.28,39.64
5500,0.68752636068679,79.55,39.775
5600,0.6885572717259546,79.76,39.88
5700,0.6895835956371097,79.99,39.995
5800,0.6905975547533778,80.23,40.115
5900,0.6915964594907575,80.38,40.19
6000,0.6925684134749804,80.61,40.305
6100,0.6935079909166361,80.86,40.43
6200,0.6944424062001759,81.13,40.565
6300,0.6953843342389332,81.33,40.665
6400,0.6963136402156168,81.54,40.77
6500,0.6972261650224774,81.78,40.89
6600,0.6981251531078724,81.99,40.995
6700,0.6989934037886981,82.15,41.075
6800,0.6998557434724327,82.44,41.22
6900,0.7007162491155272,82.68,41.34
7000,0.7015617758029259,82.89,41.445
7100,0.7024044894952304,83.02,41.51
7200,0.7032271466547239,83.23,41.615
