iteration,state,num_high_quality,high_quality_percent
0,0.5650132661986857,89.76,44.88
100,0.5841022719512499,88.35,44.175
200,0.5993938476878804,87.49,43.745
300,0.6110643189751657,87.02,43.51
400,0.6213039857071768,86.79,43.395
500,0.6296538172413897,86.66,43.33
600,0.6366632012308727,86.64,43.32
700,0.642851501201939,86.61,43.305
800,0.6483298080275938,86.65,43.325
900,0.6532594585046491,86.7,43.35
1000,0.6576899886042312,86.79,43.395
1100,0.6618629066269033,86.79,43.395
1200,0.6657083506379767,86.9,43.45
1300,0.6692013664150502,86.97,43.485
1400,0.67252489968219,87.11,43.555
1500,0.6756192654175459,87.22,43.61
1600,0.6786093506183775,87.3,43.65
1700,0.6813295420773923,87.41,43.705
1800,0.6839288695996686,87.54,43.77
1900,0.6863957522921568,87.66,43.83
2000,0.6888515130752575,87.81,43.905
2100,0.6911937342455933,87.95,43.975
2200,0.6934146528501605,88.1,44.05
2300,0.6955682713310015,88.27,44.135
2400,0.697612716030768,88.46,44.23
2500,0.6996333075315474,88.65,44.325
2600,0.7015855436350276,88.83,44.415
2700,0.7034447934171608,89.0,44.5
2800,0.7052360549558613,89.17,44.585
2900,0.7069661628494828,89.37,44.685
3000,0.7086284268797469,89.57,44.785
3100,0.7102481833291512,89.75,44.875
3200,0.7118523911984893,89.96,44.98
3300,0.7133933440243685,90.19,45.095
3400,0.7149192805459136,90.38,45.19
3500,0.7164004864969844,90.62,45.31
3600,0.7178378913989863,90.81,45.405
3700,0.7192257170638773,90.98,45.49
3800,0.7205907603741197,91.18,45.59
3900,0.7219232997553984,91.36,45.68
4000,0.7232392862870719,91.51,45.755
4100,0.7244831704956737,91.79,45.895
4200,0.7257209274343047,92.03,46.015
4300,0.7269157500571608,92.26,46.13
4400,0.7281169607910387,92.51,46.255
4500,0.7292510623975335,92.7,46.35
4600,0.7303705323419116,92.93,46.465
4700,0.7315122433408551,93.2,46.6
4800,0.7325796399914224,93.44,46.72
4900,0.7336462856507917,93.61,46.805
5000,0.7346821748709705,93.88,46.94
5100,0.7357034889542716,94.11,47.055
5200,0.7367089223645739,94.3,47.15
